job_id,title,company,city,country,posted_date,employment_type,is_internship,is_remote,applicant_count,url
4366462502,Praktikum - Software Sales,Dell Technologies,Halle,Germany,2026-01-28 13:41:43,On-site,True,False,,https://www.linkedin.com/jobs/view/4366462502
4353665980,Jr. Produktmanager (m/w/d),Sportstech,Berlin,Germany,2026-01-17 07:02:56,Hybrid,False,False,,https://www.linkedin.com/jobs/view/4353665980
4355223523,Junior Product Manager (f/m/x) Clinical Flow Cytometry (Antibodies & Data Analysis),Sysmex Europe,Hamburg,Germany,2026-01-22 09:52:19,Hybrid,False,False,,https://www.linkedin.com/jobs/view/4355223523
4357595477,Business Development Trainee,Gamelight,Hamburg,Germany,2026-02-03 10:31:47,On-site,False,False,,https://www.linkedin.com/jobs/view/4357595477
4355907261,Praktikum Marketing & Sales Startup,dreamteam,Germany,Germany,2026-01-26 15:32:05,Remote,True,True,,https://www.linkedin.com/jobs/view/4355907261
4353050129,Business Development Intern - Public Sector - Vollzeit,Edgeless Systems,Berlin,Germany,2026-01-13 19:51:19,On-site,True,False,,https://www.linkedin.com/jobs/view/4353050129
4356042334,Praktikum Digital Marketing & Sales Consulting (m/w/d) in coolem Start-Up,Digital Trendteam Marketing GmbH,Mainz,Germany,2026-01-27 10:01:37,Hybrid,True,False,,https://www.linkedin.com/jobs/view/4356042334
4361603240,Senior Product Manager (iGaming/ Casino),pawaTech,European Union,European Union,2026-01-13 19:53:27,Remote,False,True,over 100 applicants,https://www.linkedin.com/jobs/view/4361603240
4359716405,(Associate) Product Manager (m/f/x),FINN,Munich,Germany,2026-01-31 12:04:16,Hybrid,False,False,,https://www.linkedin.com/jobs/view/4359716405
4351958323,Junior Produktmanager Burlington (m/w/d),FALKE KGaA,Düsseldorf,Germany,2026-02-05 09:48:58,Hybrid,False,False,,https://www.linkedin.com/jobs/view/4351958323
4321548982,Praktikum Sales und Projektmanagement - Schwerpunkt E-Commerce und Start-ups,RTL Deutschland,Cologne,Germany,2026-01-26 18:48:49,Internship,True,False,,https://www.linkedin.com/jobs/view/4321548982
4300368003,Praktikum Consulting & Organisationsentwicklung Vertrieb,Porsche AG,Stuttgart,Germany,2026-01-24 12:59:11,On-site,True,False,,https://www.linkedin.com/jobs/view/4300368003
4368186597,Praktikum im Sales eCommerce – 6 Monate,Thalia Bücher GmbH,Münster,Germany,2026-02-02 13:03:17,On-site,True,False,,https://www.linkedin.com/jobs/view/4368186597
4356216629,INTERN - B2B SALES & BUSINESS DEVELOPMENT (Europe),Flummox,Germany,Germany,2026-01-28 11:51:34,Remote,True,True,,https://www.linkedin.com/jobs/view/4356216629
4366329902,PRAKTIKUM IM BEREICH MARKETING UND BUSINESS INTELLIGENCE AFTER SALES,Renault Group,Cologne Bonn Region,Cologne Bonn Region,2026-01-27 12:32:55,Hybrid,True,False,,https://www.linkedin.com/jobs/view/4366329902
4364909109,AirSeal Product Manager,CONMED Corporation,EMEA,EMEA,2026-01-20 16:48:16,Remote,False,True,over 100 applicants,https://www.linkedin.com/jobs/view/4364909109
4279680954,"Product Manager – Platform Intelligence, AI/ML",Accelerant,European Union,European Union,2026-01-23 15:07:02,Remote,False,True,over 100 applicants,https://www.linkedin.com/jobs/view/4279680954
4365060932,Senior Product Manager - Sportsbook,Pentasia,European Union,European Union,2026-02-01 21:44:43,Remote,False,True,over 100 applicants,https://www.linkedin.com/jobs/view/4365060932
4366714791,Business Developement Sales & Marketing (m/w/d) - Praktikum,Venture Advisory Partners,Frankfurt am Main,Germany,2026-01-28 11:42:18,On-site,True,False,41 applicants,https://www.linkedin.com/jobs/view/4366714791
4356560053,Werkstudent Digitales Produktmanagement (m/w/d),The Shoring Company,Stuttgart Region,Stuttgart Region,2026-02-02 08:53:46,On-site,False,False,57 applicants,https://www.linkedin.com/jobs/view/4356560053
4361781448,Werkstudent im Produktmanagement (m/w/d),Vossloh Rail Services,Hamburg,Germany,2026-02-07 08:41:43,On-site,False,False,,https://www.linkedin.com/jobs/view/4361781448
